idioma_secreto,espanol
moro somi moro sena sesi gope,la niña busca la gata verde
fefo zizi fefo posi mefi zita riga,el jardinero no encuentra el músico feliz
moro somi fefo mefi pefe,la niña lleva el músico
fefo gero fefo ragi rino pefe riga,el niño no lleva el perro joven
fefo mefi fefo sena gero gope riga,el músico no busca el niño verde
fefo zizi moro posi seza pefe,el jardinero lleva la maestra feliz
fefo mefi fefo posi gero zita,el músico encuentra el niño feliz
moro mapa fefo sena zizi pefe riga,la médica no lleva el jardinero verde
fefo rino fefo povo mefi nava riga,el perro no lee el músico grande
moro somi moro sena sesi nava riga,la niña no lee la gata verde
fefo zizi moro povo somi bane,el jardinero mira la niña grande
fefo rino moro sena sesi gope,el perro busca la gata verde
fefo gero fefo mefi zita,el niño encuentra el músico
fefo gero moro povo sesi nava,el niño lee la gata grande
fefo gero fefo disa mefi gope,el niño busca el músico azul
moro somi moro sena sesi bane,la niña mira la gata verde
moro somi moro disa mapa nava riga,la niña no lee la médica azul
fefo mefi moro ragi sesi pefe,el músico lleva la gata joven
fefo gero fefo sena zizi zita,el niño encuentra el jardinero verde
moro mapa fefo posi zizi zita,la médica encuentra el jardinero feliz
fefo zizi fefo ragi rino gope riga,el jardinero no busca el perro joven
moro seza moro povo mapa gope,la maestra busca la médica grande
moro mapa fefo disa mefi nava,la médica lee el músico azul
fefo mefi moro mapa pefe riga,el músico no lleva la médica
fefo mefi moro povo mapa nava riga,el músico no lee la médica grande
moro mapa moro povo somi zita,la médica encuentra la niña grande
fefo gero moro sesi nava riga,el niño no lee la gata
fefo rino moro sesi bane riga,el perro no mira la gata
fefo rino moro mapa nava riga,el perro no lee la médica
moro somi moro mapa bane,la niña mira la médica
fefo rino fefo sena zizi nava,el perro lee el jardinero verde
moro somi fefo zizi bane riga,la niña no mira el jardinero
fefo mefi fefo posi gero gope riga,el músico no busca el niño feliz
fefo gero fefo posi mefi gope riga,el niño no busca el músico feliz
fefo gero moro posi somi rizo,el niño cuida la niña feliz
moro somi fefo povo gero nava,la niña lee el niño grande
fefo rino moro sena seza pefe riga,el perro no lleva la maestra verde
fefo mefi moro ragi seza pefe,el músico lleva la maestra joven
fefo zizi moro ragi seza nava,el jardinero lee la maestra joven
moro mapa fefo povo mefi gope riga,la médica no busca el músico grande
fefo mefi moro posi mapa bane,el músico mira la médica feliz
fefo mefi fefo rino zita,el músico encuentra el perro
moro sesi moro posi seza nava,la gata lee la maestra feliz
moro sesi moro posi mapa rizo,la gata cuida la médica feliz
moro seza moro sena somi gope,la maestra busca la niña verde
